Manufacturer Part Number,Quoted Manufacturer,Quoted LCSC Part Number,Quoted Manufacturer Part Number,Quantity,Unit Price,Ext.Price,Quantity Available,Min\Mult Order Qty,RoHS,Part Match Confidence
ANT3216A063R2400A,YAGEO,C412135,ANT3216A063R2400A,1,0.1197,0.12,0,5\5,yes,100%
GRM155R61A106ME11D,Murata Electronics,C408132,GRM155R61A106ME11D,5,0.0131,0.07,147550,50\50,yes,100%
GRM0335C1H200GA01D,Murata Electronics,C384973,GRM0335C1H200GA01D,6,0.0046,0.03,15600,100\100,yes,100%
GRM033R61A104KE15D,Murata Electronics,C76934,GRM033R61A104KE15D,11,0.0013,0.01,2102000,100\100,yes,100%
GRM0335C1H1R5BA01J,Murata Electronics,C3852441,GRM0335C1H1R5BA01J,2,0.0034,0.01,0,1\1,yes,100%
GRM155R61H105KE05D,Murata Electronics,C1518208,GRM155R61H105KE05D,14,0.0308,0.43,88000,20\20,yes,100%
GRM155C61E475ME15J,Murata Electronics,C5718966,GRM155C61E475ME15D,2,0.1237,0.25,2935,5\5,yes,80%
150060YS75000,Wurth Elektronik,C6784997,150060YS75000,1,0.2581,0.26,0,1\1,yes,100%
MBR0530,LGE,C2983233,MBR0530,4,0.0229,0.09,9300,20\20,yes,100%
150060VS75000,Wurth Elektronik,C6848499,150060VS75000,1,0.2105,0.21,3995,5\5,yes,100%
ERB-RD0R50X,PANASONIC,C424346,ERBRD0R50X,1,0.2047,0.20,0,5\5,yes,100%
USB4105-GF-A,Global Connector Technology,C7407283,USB4151-GF-C,1,3.1198,3.12,0,1\1,yes,80%
505110-2491,MOLEX,C5902849,5051102491,1,1.2887,1.29,0,1\1,yes,100%
LQP03HQ3N0B02D,Murata Electronics,C2041469,LQP03HQ3N0B02D,2,0.0424,0.08,14820,10\10,yes,100%
1239AS-H-100M=P2,Murata Electronics,C237599,1239AS-H-100M=P2,1,0.0726,0.07,4520,5\5,yes,100%
S2B-PH-SM4-TB(LF)(SN),JST,C295747,S2B-PH-SM4-TB(LF)(SN),1,0.1809,0.18,73500,5\5,yes,100%
BSS84LT1G,onsemi,C82079,BSS84LT1G,1,0.0746,0.07,20445,5\5,yes,100%
SI1308EDL-T1-BE3,Vishay Intertech,C3289597,SI1308EDL-T1-BE3,1,0.1456,0.15,0,1\1,yes,100%
AC0402FR-07150RL,YAGEO,C226790,AC0402FR-07150RL,2,0.0011,0.01,6000,100\100,yes,100%
AC0402FR-075K1L,YAGEO,C144745,AC0402FR-075K1L,4,0.0011,0.01,243499,100\100,yes,100%
AC0402FR-0710KL,YAGEO,C144807,AC0402FR-0710KL,4,0.0011,0.01,1286286,100\100,yes,100%
AC0402JR-070RL,YAGEO,C138289,AC0402JR-070RL,2,0.0009,0.01,117000,100\100,yes,100%
AC0402FR-07100KL,YAGEO,C144809,AC0402FR-07100KL,1,0.0011,0.01,1249198,100\100,yes,100%
AC0402FR-073RL,YAGEO,C227000,AC0402FR-0733RL,100,0.0011,0.11,242000,100\100,yes,80%
AC0402FR-131KL,YAGEO,C227274,AC0402FR-07931KL,100,0.0011,0.11,6600,100\100,yes,80%
PTS636 SKG25 SMTR LFS,C&K,C2800965,PTS636 SK25J SMTR LFS,5,0.0755,0.38,1055,5\5,yes,80%
MCP73831T-2ACI/OT,Microchip Tech,C424093,MCP73831T-2ACI/OT,1,0.7573,0.76,4767,1\1,yes,100%
MIC5504-3.3YM5-TR,Microchip Tech,C88419,MIC5504-3.3YM5-TR,1,0.2546,0.25,5570,5\5,yes,100%
BME680,Bosch Sensortec,C125972,BME680,1,7.6444,7.64,688,1\1,yes,100%
MAX17043X+T10,Analog Devices Inc./Maxim Integrated,C2682616,MAX17048G+T10,1,1.0978,1.10,1259,1\1,yes,80%
ESP32-C3FH4,Espressif Systems,C5143572,ESP32-C3FN4,1,1.5926,1.59,1477,1\1,yes,80%
ABS07AIG-32.768KHZ-7-D-T,Abracon LLC,C1985458,ABS07AIG-32.768KHZ-7-D-T,1,1.6705,1.67,0,1\1,yes,100%
ABM11-40.000MHZ-B1U-T3,Abracon LLC,C1985462,ABM11-40.000MHZ-B1U-T3,1,0.8066,0.81,0,1\1,yes,100%
